LAST SEEN   TYPE      REASON                     OBJECT                                                           MESSAGE
7m24s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-4tbfr                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc08e9a6100 {14014679571616784422 109669337540154 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-mjfx8                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-mjfx8 to ampere
7m24s       Normal    ScalingReplicaSet          deployment/llama-runtime                                         Scaled up replica set llama-runtime-fc6f5dd9 from 0 to 1
7m24s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-mjfx8                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc10eeb1db0 {14014679571631467578 109669352223257 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-s2pc8                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-s2pc8 to ampere
7m24s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-s2pc8                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc10eeb1db0 {14014679571631467578 109669352223257 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-4tbfr
7m24s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-sx8sv
7m24s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-fqcwg
7m24s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-sx8sv                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc08e9a6100 {14014679571616784422 109669337540154 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-sx8sv                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-sx8sv to ampere
7m24s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-s2s8k                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc08e9a6100 {14014679571616784422 109669337540154 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-jn24t                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-jn24t to ampere
7m24s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-jn24t
7m24s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-s2s8k                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-s2s8k to ampere
7m24s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-zx8xk                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-zx8xk to ampere
7m24s       Normal    ScalingReplicaSet          deployment/gpt2-runtime                                          Scaled up replica set gpt2-runtime-78cd7b4b56 from 0 to 1
