mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,input_hw,dtype,engine,status,error,sample_count,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,resnet50,32,224x224,fp16,torchvision,ok,,50,40.263598,40.413761,42.115936,44.397022,794.762548,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,resnet50,32,224x224,fp16,torchvision,ok,,50,39.704136,39.885887,42.156895,47.731647,805.961382,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,resnet50,32,224x224,fp16,torchvision,ok,,50,87.134992,87.159073,87.229248,88.699165,367.246262,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,resnet50,32,224x224,fp16,torchvision,ok,,50,46.834057,46.708225,47.999584,50.016609,683.263461,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,resnet50,32,224x224,fp16,torchvision,ok,,50,40.908421,41.242496,42.467937,45.35088,782.235036,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,resnet50,32,224x224,fp16,torchvision,ok,,50,38.218154,37.409985,41.932926,42.291714,837.298431,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,resnet50,32,224x224,fp16,torchvision,ok,,50,39.504033,40.003521,41.701633,44.357506,810.043884,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,resnet50,32,224x224,fp16,torchvision,ok,,50,86.03833,85.922783,86.203773,89.765182,371.927256,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,resnet50,32,224x224,fp16,torchvision,ok,,50,43.318288,43.248032,43.398911,46.562656,738.71803,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,resnet50,32,224x224,fp16,torchvision,ok,,50,24.895572,24.767679,25.058336,29.763777,1285.36915,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,resnet50,32,224x224,fp16,torchvision,ok,,50,22.360292,22.114143,23.846975,26.996672,1431.108298,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,resnet50,32,224x224,fp16,torchvision,ok,,50,22.404443,22.165792,23.5376,28.485151,1428.288141,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,resnet50,64,224x224,fp16,torchvision,ok,,50,166.962106,166.921402,167.272766,171.032166,383.320513,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,resnet50,64,224x224,fp16,torchvision,ok,,50,84.270591,84.266014,84.319969,87.918404,759.458307,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,resnet50,64,224x224,fp16,torchvision,ok,,50,49.590137,49.66576,51.815231,52.658081,1290.579201,0.0,0.0,,,vision-20260703-ampere-gpu0
