mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,prompt_len,output_tokens,dtype,engine,status,error,sample_count,ttft_ms,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,decode_tps,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,11.937325,11.189344,15.004032,15.004032,11.255484,10.865379,12.895743,12.895743,88.845582,2893.341162,2792.34668,3313.127686,3313.127686,0.345621,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,11.631001,10.292896,17.114847,17.114847,11.066327,10.463079,13.549737,13.549737,90.364222,2844.610645,2688.787354,3485.847412,3485.847412,0.351542,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,10.864122,10.170432,13.526304,13.526304,10.180135,10.153978,10.291886,10.291886,98.230527,2616.978613,2609.33667,2648.249023,2648.249023,0.38212,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,10.917107,10.255424,13.924768,13.924768,10.822312,10.486598,11.452726,11.452726,92.401695,2781.429053,2694.568604,2945.82251,2945.82251,0.359527,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,10.843072,10.102816,13.479424,13.479424,10.494815,10.505171,10.534777,10.534777,95.285144,2697.51582,2699.426514,2708.494385,2708.494385,0.370711,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,20.580928,19.201504,26.11344,26.11344,11.064966,11.0828,12.250242,12.250242,90.375337,5685.843359,5693.723145,6291.325195,6291.325195,0.175875,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,19.31088,17.797825,26.145664,26.145664,10.024237,9.750374,10.720448,10.720448,99.758216,5151.720215,5009.989258,5507.54541,5507.54541,0.19411,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,20.64519,19.215168,26.114113,26.114113,10.318249,9.939011,11.479056,11.479056,96.915672,5303.588477,5104.782227,5903.390625,5903.390625,0.188552,834.926758,944.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,20.129459,18.766369,27.051104,27.051104,11.229006,11.084,12.871016,12.871016,89.055074,5769.380762,5694.35498,6608.623047,6608.623047,0.173329,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,19.552666,18.179873,25.285313,25.285313,10.602323,10.609699,10.848795,10.848795,94.318957,5447.941797,5457.451172,5572.657227,5572.657227,0.183556,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,gpt2-medium,1,64,512,fp16,hf,ok,,5,15.031603,10.29552,26.052576,26.052576,10.342532,10.192764,10.692149,10.692149,96.688126,5310.407812,5228.990723,5492.882324,5492.882324,0.188309,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,gpt2-medium,1,64,512,fp16,hf,ok,,5,20.775801,18.400801,26.100864,26.100864,10.093848,9.739945,10.857898,10.857898,99.070242,5188.826172,5004.055176,5585.344727,5585.344727,0.192722,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,gpt2-medium,1,64,512,fp16,hf,ok,,5,18.843399,19.202848,26.650721,26.650721,11.045298,11.331133,11.383821,11.383821,90.536265,5674.03584,5820.723145,5855.166992,5855.166992,0.176241,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,gpt2-medium,1,64,512,fp16,hf,ok,,5,18.404794,18.321983,21.564512,21.564512,10.682661,10.605787,12.687272,12.687272,93.609637,5487.927148,5451.727539,6514.280762,6514.280762,0.182218,834.926758,946.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,gpt2-medium,1,64,512,fp16,hf,ok,,5,19.979162,19.170464,24.556032,24.556032,11.549269,10.992351,13.325962,13.325962,86.585565,5933.20498,5646.813477,6842.062988,6842.062988,0.168543,834.926758,944.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,11.605696,11.112576,14.008032,14.008032,12.056349,12.228022,13.745243,13.745243,82.94385,6184.456348,6271.885254,7048.533691,7048.533691,0.161696,834.926758,946.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,11.2136,10.211168,15.199168,15.199168,11.340758,11.508922,12.954402,12.954402,88.177525,5817.681836,5902.665039,6642.865234,6642.865234,0.17189,834.926758,946.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,11.25152,10.221632,15.394944,15.394944,11.140526,10.596755,13.363606,13.363606,89.762368,5715.200879,5435.702148,6852.387695,6852.387695,0.174972,834.926758,946.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,11.021734,10.191936,14.44672,14.44672,10.608375,10.601528,10.681682,10.681682,94.265147,5442.50957,5438.174316,5478.900391,5478.900391,0.183739,834.926758,946.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,gpt2-medium,1,64,512,fp16,hf,ok,,5,11.098861,10.32736,13.335104,13.335104,11.080195,10.864762,11.979895,11.979895,90.251116,5684.158887,5576.093262,6144.033691,6144.033691,0.175928,834.926758,946.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,gpt2-medium,1,512,64,fp16,hf,ok,,5,35.103322,34.470688,40.78093,40.78093,14.465016,16.351693,16.54715,16.54715,69.132313,960.864331,1081.681274,1095.651367,1095.651367,1.04073,849.90625,884.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,gpt2-medium,1,512,64,fp16,hf,ok,,5,21.96841,22.305504,24.873184,24.873184,13.886654,15.131255,15.408021,15.408021,72.011588,910.714258,990.705811,1007.399109,1007.399109,1.098039,849.90625,884.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
