mig_uuid,mig_name,model,batch,seq_len,dtype,engine,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,16,bf16,hf,5.8990,5.8925,6.0151,227.94,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,32,bf16,hf,5.8212,5.8127,5.9140,230.76,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,64,bf16,hf,6.0238,6.0211,6.1264,236.39,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,128,bf16,hf,6.0015,5.9937,6.1387,247.65,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,256,bf16,hf,7.9643,7.9369,7.9566,270.17,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,512,bf16,hf,15.5023,15.4992,15.5124,315.22,378.00,19393.88,19321.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,16,16,bf16,hf,5.8654,5.8528,5.9996,230.76,378.00,19321.88,19321.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,16,32,bf16,hf,5.8379,5.8283,5.9263,236.39,378.00,19321.88,19321.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,16,64,bf16,hf,6.0382,5.9143,6.4337,247.65,378.00,19321.88,19321.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,16,128,bf16,hf,7.8342,7.8277,7.8891,270.17,378.00,19321.88,19321.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,16,256,bf16,hf,14.9852,14.9819,14.9994,315.22,378.00,19321.88,19321.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,16,512,bf16,hf,28.1512,28.1383,28.1756,405.31,522.00,19321.88,19177.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,32,16,bf16,hf,6.0874,6.0957,6.2016,236.39,522.00,19177.88,19177.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,32,32,bf16,hf,5.9821,5.9805,6.1011,247.65,522.00,19177.88,19177.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,32,64,bf16,hf,8.0477,8.0287,8.1630,270.17,522.00,19177.88,19177.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,32,128,bf16,hf,14.8393,14.8358,14.8590,315.22,522.00,19177.88,19177.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,32,256,bf16,hf,27.1274,27.1172,27.1767,405.31,522.00,19177.88,19177.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,32,512,bf16,hf,53.4470,53.4390,53.4675,585.50,858.00,19177.88,18841.88
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,1,16,bf16,hf,5.7669,5.7634,5.8511,225.48,230.00,9470.94,9430.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,1,32,bf16,hf,5.9077,5.8969,6.0260,225.83,230.00,9430.94,9430.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,1,64,bf16,hf,6.0333,5.9330,6.4190,226.53,232.00,9430.94,9428.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,1,128,bf16,hf,5.8126,5.8012,5.9585,227.94,232.00,9428.94,9428.94
