mig_uuid,mig_name,model,batch,input_hw,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,16,224x224,28.0428,28.0422,28.0576,601.71,742,19155.88,18959.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,32,224x224,54.4074,54.4061,54.4164,856.96,1134,18959.88,18567.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,64,224x224,107.4086,107.4063,107.4319,1364.46,1918,18567.88,17783.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,128,224x224,212.9296,212.9265,212.9633,2381.45,3486,17783.88,16215.88
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,4,224x224,10.0429,10.0413,10.0475,690.48,706,9142.94,8958.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,8,224x224,18.1419,18.1391,18.1535,836.93,1002,8958.94,8662.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,16,224x224,33.0663,33.0619,33.0752,1135.95,1592,8662.94,8072.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,32,224x224,64.3276,64.3215,64.3482,1732.81,2770,8072.94,6894.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,64,224x224,125.5213,125.5117,125.5516,2927.3,5126,6894.94,4538.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,128,224x224,248.8148,248.7962,248.8668,5316.3,5360,4538.94,4304.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,4,224x224,6.5938,6.5925,6.6038,150.35,166,9544.94,9498.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,8,224x224,11.9339,11.9337,11.9419,192.48,244,9498.94,9420.94
